Track,Test Case,Matcher Name 1,Matcher Name 2,Alpha,p,Significantly Different?
conference,edas-iasted,wikidata_emb,wordnet_emb,0.05,5.200284647344233E-12,true
conference,cmt-conference,dbpedia_emb,wordnet_emb,0.05,2.2137401231026033E-6,true
conference,cmt-iasted,wiktionary_emb,dbpedia_emb,0.05,0.1119613542637482,false
conference,edas-sigkdd,dbpedia_emb,wikidata_emb,0.05,0.08988652243978434,false
conference,conference-ekaw,wordnet_emb,wikidata_emb,0.05,2.279620936462834E-12,true
conference,edas-iasted,babelnet_emb,babelnet_emb,0.05,1.0,false
conference,ekaw-iasted,dbpedia_emb,wordnet_emb,0.05,1.1593547122323855E-8,true
conference,iasted-sigkdd,COMBINED_Emb,dbpedia_emb,0.05,0.0,true
conference,confof-ekaw,COMBINED_Emb,wikidata_emb,0.05,0.0,true
conference,confof-sigkdd,alod_emb,alod_emb,0.05,1.0,false
conference,conference-confof,alod_emb,wikidata_emb,0.05,9.784411916773372E-4,true
conference,conference-edas,dbpedia_emb,babelnet_emb,0.05,0.7664327164541457,false
conference,edas-iasted,alod_emb,alod_emb,0.05,1.0,false
anatomy_track,mouse-human-suite,wiktionary_emb,wiktionary_emb,0.05,1.0,false
conference,cmt-iasted,wiktionary_emb,wikidata_emb,0.05,5.320055051392103E-4,true
conference,conference-ekaw,dbpedia_emb,babelnet_emb,0.05,0.28366948940702064,false
conference,conference-confof,alod_emb,wiktionary_emb,0.05,1.0,false
conference,conference-edas,alod_emb,wikidata_emb,0.05,8.612201218838322E-8,true
conference,cmt-conference,dbpedia_emb,dbpedia_emb,0.05,1.0,false
conference,confof-edas,alod_emb,wiktionary_emb,0.05,0.8638317428547264,false
conference,iasted-sigkdd,wiktionary_emb,wikidata_emb,0.05,1.5705228423079642E-4,true
conference,cmt-ekaw,wikidata_emb,babelnet_emb,0.05,0.8302175917778634,false
conference,cmt-confof,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,cmt-edas,wordnet_emb,alod_emb,0.05,131066.0,false
conference,conference-ekaw,COMBINED_Emb,wordnet_emb,0.05,0.0,true
conference,cmt-sigkdd,alod_emb,dbpedia_emb,0.05,0.010787449254670234,true
conference,edas-ekaw,COMBINED_Emb,alod_emb,0.05,0.0,true
conference,confof-iasted,wiktionary_emb,babelnet_emb,0.05,0.004850300457042045,true
conference,edas-ekaw,wordnet_emb,babelnet_emb,0.05,1.7218448888911553E-12,true
conference,conference-confof,wikidata_emb,babelnet_emb,0.05,1.0,false
conference,cmt-sigkdd,wordnet_emb,wikidata_emb,0.05,1.1087370209716951E-5,true
conference,cmt-confof,wikidata_emb,wordnet_emb,0.05,1.839715194962288E-6,true
conference,confof-ekaw,wiktionary_emb,dbpedia_emb,0.05,0.03688842570704942,true
conference,cmt-ekaw,dbpedia_emb,wikidata_emb,0.05,0.23531375547707445,false
conference,cmt-iasted,babelnet_emb,dbpedia_emb,0.05,0.6349917907446544,false
conference,edas-ekaw,wordnet_emb,dbpedia_emb,0.05,3.527877989739636E-11,true
conference,conference-ekaw,alod_emb,wiktionary_emb,0.05,0.5827019821339483,false
conference,cmt-ekaw,COMBINED_Emb,babelnet_emb,0.05,0.0,true
conference,edas-ekaw,dbpedia_emb,COMBINED_Emb,0.05,0.0,true
conference,cmt-confof,dbpedia_emb,wiktionary_emb,0.05,0.002869112792076578,true
conference,conference-ekaw,dbpedia_emb,wordnet_emb,0.05,2.463326548296507E-7,true
conference,cmt-conference,babelnet_emb,wordnet_emb,0.05,5.41723221836321E-10,true
conference,edas-ekaw,alod_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-edas,wikidata_emb,wiktionary_emb,0.05,7.781633336068072E-5,true
conference,ekaw-sigkdd,babelnet_emb,alod_emb,0.05,9.00935596360064E-4,true
conference,cmt-confof,alod_emb,wiktionary_emb,0.05,-1158.0,true
conference,cmt-iasted,COMBINED_Emb,wordnet_emb,0.05,0.0,true
conference,cmt-iasted,dbpedia_emb,wikidata_emb,0.05,0.060472064883954624,false
conference,ekaw-sigkdd,wordnet_emb,wordnet_emb,0.05,1.0,false
conference,confof-ekaw,dbpedia_emb,wikidata_emb,0.05,1.0,false
conference,edas-iasted,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-sigkdd,babelnet_emb,wordnet_emb,0.05,8.911880788886606E-9,true
conference,confof-edas,wiktionary_emb,alod_emb,0.05,0.8638317428547264,false
conference,conference-confof,wikidata_emb,wikidata_emb,0.05,1.0,false
conference,edas-ekaw,wikidata_emb,dbpedia_emb,0.05,0.17591795246413444,false
conference,confof-ekaw,COMBINED_Emb,COMBINED_Emb,0.05,1.0,false
conference,edas-sigkdd,wiktionary_emb,wiktionary_emb,0.05,1.0,false
conference,edas-sigkdd,wordnet_emb,wordnet_emb,0.05,1.0,false
conference,ekaw-iasted,babelnet_emb,dbpedia_emb,0.05,0.7805955556973272,false
conference,edas-iasted,COMBINED_Emb,wordnet_emb,0.05,0.0,true
conference,cmt-ekaw,COMBINED_Emb,wordnet_emb,0.05,0.0,true
largebio,small-fma-nci,babelnet_emb,wordnet_emb,0.05,0.0,true
conference,edas-sigkdd,wordnet_emb,alod_emb,0.05,131066.0,false
conference,cmt-confof,babelnet_emb,wikidata_emb,0.05,0.63013033330426,false
anatomy_track,mouse-human-suite,wikidata_emb,COMBINED_Emb,0.05,0.0,true
conference,cmt-edas,wiktionary_emb,dbpedia_emb,0.05,0.019108863644740404,true
conference,confof-edas,babelnet_emb,COMBINED_Emb,0.05,0.0,true
anatomy_track,mouse-human-suite,wikidata_emb,alod_emb,0.05,0.0,true
conference,conference-ekaw,wikidata_emb,alod_emb,0.05,2.2485077191891634E-4,true
conference,ekaw-sigkdd,dbpedia_emb,wordnet_emb,0.05,3.015843351383829E-6,true
conference,conference-sigkdd,COMBINED_Emb,wiktionary_emb,0.05,0.0,true
conference,ekaw-sigkdd,dbpedia_emb,alod_emb,0.05,0.006840858435828934,true
conference,ekaw-iasted,alod_emb,babelnet_emb,0.05,0.004069296525187616,true
conference,iasted-sigkdd,alod_emb,babelnet_emb,0.05,2.0833380892648634E-4,true
conference,cmt-ekaw,wikidata_emb,wiktionary_emb,0.05,0.011743382301172445,true
conference,confof-sigkdd,dbpedia_emb,wordnet_emb,0.05,6.795346249477419E-6,true
conference,confof-ekaw,alod_emb,wiktionary_emb,0.05,0.583882420770365,false
conference,confof-iasted,alod_emb,alod_emb,0.05,1.0,false
conference,confof-ekaw,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,confof-ekaw,wordnet_emb,wiktionary_emb,0.05,262141.0,false
conference,iasted-sigkdd,babelnet_emb,babelnet_emb,0.05,1.0,false
conference,conference-iasted,wordnet_emb,dbpedia_emb,0.05,3.869055631433582E-9,true
conference,cmt-sigkdd,COMBINED_Emb,babelnet_emb,0.05,2.7255975254547593E-13,true
conference,cmt-conference,wiktionary_emb,alod_emb,0.05,0.5107977981738965,false
conference,conference-confof,COMBINED_Emb,wikidata_emb,0.05,0.0,true
conference,conference-confof,wordnet_emb,COMBINED_Emb,0.05,0.0,true
conference,confof-edas,wordnet_emb,wiktionary_emb,0.05,-1158.0,true
conference,iasted-sigkdd,wikidata_emb,wikidata_emb,0.05,1.0,false
conference,confof-edas,wikidata_emb,babelnet_emb,0.05,0.8173613313851769,false
conference,iasted-sigkdd,babelnet_emb,COMBINED_Emb,0.05,0.0,true
conference,cmt-sigkdd,babelnet_emb,COMBINED_Emb,0.05,2.7255975254547593E-13,true
conference,edas-sigkdd,wikidata_emb,wordnet_emb,0.05,4.129098174487922E-10,true
conference,confof-sigkdd,alod_emb,COMBINED_Emb,0.05,0.0,true
conference,cmt-confof,wordnet_emb,dbpedia_emb,0.05,5.001956843586619E-5,true
conference,edas-sigkdd,alod_emb,wikidata_emb,0.05,1.5821612263655638E-6,true
conference,confof-iasted,babelnet_emb,wordnet_emb,0.05,4.844104126378035E-6,true
conference,conference-ekaw,wikidata_emb,dbpedia_emb,0.05,0.03947322372463602,true
anatomy_track,mouse-human-suite,dbpedia_emb,wordnet_emb,0.05,0.0,true
conference,conference-sigkdd,babelnet_emb,babelnet_emb,0.05,1.0,false
conference,confof-ekaw,alod_emb,dbpedia_emb,0.05,0.007290358091535554,true
conference,conference-confof,babelnet_emb,alod_emb,0.05,9.00935596360064E-4,true
conference,cmt-iasted,wikidata_emb,dbpedia_emb,0.05,0.060472064883954624,false
anatomy_track,mouse-human-suite,babelnet_emb,wordnet_emb,0.05,0.0,true
conference,cmt-sigkdd,alod_emb,COMBINED_Emb,0.05,0.0,true
conference,confof-sigkdd,wiktionary_emb,wordnet_emb,0.05,-1158.0,true
conference,iasted-sigkdd,wikidata_emb,babelnet_emb,0.05,0.737315677216418,false
conference,cmt-conference,wordnet_emb,COMBINED_Emb,0.05,0.0,true
conference,cmt-edas,wiktionary_emb,wordnet_emb,0.05,-43596.0,true
conference,conference-iasted,babelnet_emb,babelnet_emb,0.05,1.0,false
conference,confof-sigkdd,wiktionary_emb,dbpedia_emb,0.05,0.06599205505934647,false
conference,cmt-ekaw,COMBINED_Emb,wikidata_emb,0.05,0.0,true
conference,conference-iasted,COMBINED_Emb,babelnet_emb,0.05,0.0,true
conference,confof-sigkdd,wordnet_emb,wiktionary_emb,0.05,-1158.0,true
conference,confof-ekaw,wikidata_emb,babelnet_emb,0.05,0.897278961260083,false
conference,cmt-edas,alod_emb,babelnet_emb,0.05,8.717127392684487E-4,true
conference,ekaw-iasted,dbpedia_emb,alod_emb,0.05,0.010959268093534646,true
conference,conference-confof,babelnet_emb,babelnet_emb,0.05,1.0,false
conference,confof-ekaw,wiktionary_emb,babelnet_emb,0.05,0.09725442843900345,false
conference,conference-sigkdd,dbpedia_emb,wiktionary_emb,0.05,0.005088185461451067,true
conference,iasted-sigkdd,wiktionary_emb,babelnet_emb,0.05,7.120115871380728E-4,true
conference,cmt-ekaw,alod_emb,wordnet_emb,0.05,-45.0,true
conference,edas-sigkdd,babelnet_emb,wiktionary_emb,0.05,5.539345419292019E-5,true
conference,confof-edas,wordnet_emb,babelnet_emb,0.05,9.269569611891626E-8,true
conference,conference-ekaw,alod_emb,alod_emb,0.05,1.0,false
conference,conference-confof,babelnet_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-iasted,wiktionary_emb,wordnet_emb,0.05,7.722679550548062E-5,true
conference,conference-edas,babelnet_emb,wordnet_emb,0.05,7.658268208476926E-8,true
conference,confof-edas,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,ekaw-iasted,wordnet_emb,wiktionary_emb,0.05,0.0017872890369872163,true
conference,conference-sigkdd,wikidata_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-confof,wikidata_emb,wiktionary_emb,0.05,3.0804470562773023E-4,true
conference,ekaw-sigkdd,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,ekaw-sigkdd,dbpedia_emb,wiktionary_emb,0.05,0.05001639548564496,false
conference,edas-ekaw,dbpedia_emb,wikidata_emb,0.05,0.17591795246413444,false
largebio,small-fma-nci,alod_emb,wiktionary_emb,0.05,0.0,true
conference,conference-edas,wiktionary_emb,wikidata_emb,0.05,7.781633336068072E-5,true
conference,edas-ekaw,COMBINED_Emb,COMBINED_Emb,0.05,1.0,false
conference,cmt-confof,alod_emb,babelnet_emb,0.05,1.7812930545546557E-4,true
conference,confof-edas,dbpedia_emb,wordnet_emb,0.05,2.7966913074273236E-6,true
conference,edas-ekaw,alod_emb,wordnet_emb,0.05,1.9167534556663313E-5,true
conference,cmt-conference,babelnet_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-iasted,wiktionary_emb,wiktionary_emb,0.05,1.0,false
conference,ekaw-iasted,COMBINED_Emb,alod_emb,0.05,0.0,true
conference,cmt-confof,dbpedia_emb,wikidata_emb,0.05,0.449691797968891,false
conference,cmt-edas,wordnet_emb,wikidata_emb,0.05,1.800559701337079E-11,true
conference,confof-sigkdd,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,edas-iasted,alod_emb,dbpedia_emb,0.05,0.0016157208688413194,true
conference,ekaw-sigkdd,alod_emb,wordnet_emb,0.05,4090.0,false
conference,conference-confof,wiktionary_emb,babelnet_emb,0.05,6.067668456360975E-4,true
conference,confof-ekaw,wiktionary_emb,wikidata_emb,0.05,0.05001639548564496,false
conference,conference-ekaw,wordnet_emb,wordnet_emb,0.05,1.0,false
anatomy_track,mouse-human-suite,dbpedia_emb,babelnet_emb,0.05,1.3682166510875504E-11,true
conference,cmt-conference,alod_emb,wiktionary_emb,0.05,0.5107977981738965,false
conference,edas-sigkdd,babelnet_emb,alod_emb,0.05,3.707347569237296E-5,true
largebio,small-fma-nci,wikidata_emb,dbpedia_emb,0.05,0.0,true
conference,cmt-iasted,COMBINED_Emb,COMBINED_Emb,0.05,1.0,false
conference,cmt-sigkdd,wordnet_emb,wiktionary_emb,0.05,65533.0,false
conference,conference-edas,COMBINED_Emb,wordnet_emb,0.05,0.0,true
conference,confof-ekaw,wiktionary_emb,wordnet_emb,0.05,262141.0,false
conference,conference-ekaw,wikidata_emb,wikidata_emb,0.05,1.0,false
largebio,small-fma-nci,COMBINED_Emb,babelnet_emb,0.05,0.0,true
conference,confof-sigkdd,babelnet_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-iasted,alod_emb,wordnet_emb,0.05,0.0029671058986475707,true
conference,confof-ekaw,alod_emb,alod_emb,0.05,1.0,false
conference,cmt-conference,dbpedia_emb,wiktionary_emb,0.05,0.1695641451905635,false
conference,edas-ekaw,babelnet_emb,wiktionary_emb,0.05,0.002116351150048157,true
conference,iasted-sigkdd,wiktionary_emb,wordnet_emb,0.05,-45.0,true
conference,confof-edas,wordnet_emb,COMBINED_Emb,0.05,0.0,true
largebio,small-fma-nci,alod_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-iasted,dbpedia_emb,wordnet_emb,0.05,3.869055631433582E-9,true
conference,conference-ekaw,wiktionary_emb,babelnet_emb,0.05,0.027195156956906774,true
conference,conference-iasted,wiktionary_emb,babelnet_emb,0.05,0.038165769458829546,true
conference,edas-ekaw,wordnet_emb,alod_emb,0.05,1.9167534556663313E-5,true
conference,conference-edas,wordnet_emb,wiktionary_emb,0.05,2.7623972394730245E-4,true
conference,cmt-conference,COMBINED_Emb,dbpedia_emb,0.05,0.0,true
conference,confof-iasted,COMBINED_Emb,wiktionary_emb,0.05,0.0,true
conference,edas-iasted,wiktionary_emb,alod_emb,0.05,0.38157390570502137,false
conference,cmt-sigkdd,wikidata_emb,alod_emb,0.05,1.9065106015947464E-4,true
anatomy_track,mouse-human-suite,COMBINED_Emb,alod_emb,0.05,0.0,true
conference,iasted-sigkdd,COMBINED_Emb,COMBINED_Emb,0.05,1.0,false
largebio,small-fma-nci,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,cmt-confof,dbpedia_emb,wordnet_emb,0.05,5.001956843586619E-5,true
conference,confof-sigkdd,wordnet_emb,wordnet_emb,0.05,1.0,false
conference,conference-confof,wiktionary_emb,wikidata_emb,0.05,3.0804470562773023E-4,true
conference,confof-edas,COMBINED_Emb,wikidata_emb,0.05,0.0,true
conference,edas-iasted,COMBINED_Emb,wikidata_emb,0.05,0.0,true
largebio,small-fma-nci,dbpedia_emb,wordnet_emb,0.05,0.0,true
conference,edas-iasted,dbpedia_emb,babelnet_emb,0.05,0.4594241246032428,false
conference,ekaw-iasted,wiktionary_emb,wiktionary_emb,0.05,1.0,false
conference,confof-ekaw,babelnet_emb,wiktionary_emb,0.05,0.09725442843900345,false
conference,conference-confof,wiktionary_emb,wiktionary_emb,0.05,1.0,false
conference,confof-edas,COMBINED_Emb,babelnet_emb,0.05,0.0,true
conference,cmt-iasted,babelnet_emb,wikidata_emb,0.05,0.1930590608764361,false
conference,cmt-sigkdd,wiktionary_emb,babelnet_emb,0.05,0.06091869077971557,false
conference,conference-sigkdd,wikidata_emb,wordnet_emb,0.05,1.9731752898266564E-9,true
