Track,Test Case,Matcher Name 1,Matcher Name 2,Alpha,p,Significantly Different?
conference,conference-ekaw,alod_emb,COMBINED_Emb,0.05,0.0,true
conference,edas-sigkdd,babelnet_emb,wikidata_emb,0.05,0.5485062355001471,false
conference,ekaw-iasted,dbpedia_emb,dbpedia_emb,0.05,1.0,false
conference,confof-iasted,babelnet_emb,wordnet_emb,0.05,2.425601142608258E-6,true
conference,edas-sigkdd,wordnet_emb,wikidata_emb,0.05,1.7794965501138904E-10,true
conference,cmt-conference,alod_emb,dbpedia_emb,0.05,0.020921335337793834,true
conference,conference-ekaw,wordnet_emb,alod_emb,0.05,1.0062192211968135E-4,true
conference,cmt-conference,dbpedia_emb,babelnet_emb,0.05,0.09148192105683262,false
conference,confof-iasted,alod_emb,babelnet_emb,0.05,0.06281184751609747,false
conference,cmt-ekaw,COMBINED_Emb,COMBINED_Emb,0.05,1.0,false
conference,edas-ekaw,babelnet_emb,alod_emb,0.05,0.0013837912401647445,true
conference,cmt-sigkdd,wordnet_emb,wikidata_emb,0.05,5.022804426935146E-6,true
conference,cmt-confof,dbpedia_emb,wiktionary_emb,0.05,0.0017451186995288692,true
conference,confof-edas,wordnet_emb,wikidata_emb,0.05,3.3031431945218515E-7,true
conference,conference-confof,wordnet_emb,babelnet_emb,0.05,7.54012652315339E-9,true
conference,confof-iasted,COMBINED_Emb,wordnet_emb,0.05,0.0,true
conference,cmt-ekaw,babelnet_emb,wiktionary_emb,0.05,0.002699796063260207,true
conference,conference-sigkdd,wordnet_emb,alod_emb,0.05,NaN,<undefined>
conference,confof-edas,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
conference,edas-ekaw,dbpedia_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-ekaw,wikidata_emb,COMBINED_Emb,0.05,0.0,true
conference,conference-edas,babelnet_emb,babelnet_emb,0.05,1.0,false
conference,conference-confof,wordnet_emb,COMBINED_Emb,0.05,0.0,true
conference,confof-ekaw,wikidata_emb,dbpedia_emb,0.05,0.898119787253741,false
conference,iasted-sigkdd,babelnet_emb,wordnet_emb,0.05,5.8179745242581404E-6,true
conference,iasted-sigkdd,babelnet_emb,dbpedia_emb,0.05,0.29217129931682495,false
conference,ekaw-sigkdd,alod_emb,dbpedia_emb,0.05,0.004059196365555073,true
conference,iasted-sigkdd,wikidata_emb,alod_emb,0.05,2.387106008050477E-5,true
conference,cmt-confof,wordnet_emb,alod_emb,0.05,NaN,<undefined>
conference,confof-sigkdd,babelnet_emb,wikidata_emb,0.05,0.20402387047443682,false
conference,conference-edas,dbpedia_emb,wiktionary_emb,0.05,0.0880815116621908,false
conference,cmt-iasted,alod_emb,wiktionary_emb,0.05,0.639411852803375,false
conference,ekaw-sigkdd,alod_emb,wordnet_emb,0.05,NaN,<undefined>
conference,confof-edas,wiktionary_emb,alod_emb,0.05,0.7316005889599013,false
conference,ekaw-iasted,dbpedia_emb,alod_emb,0.05,0.00804930335580667,true
conference,conference-sigkdd,wiktionary_emb,COMBINED_Emb,0.05,0.0,true
